district,numberOfRooms,meters,furniture,price
Bieżanów-Prokocim,3,64.1,True,960000.0
Prądnik Czerwony,2,53.06,False,1000000.0
Krowodrza,2,46,True,756756.0
Bieżanów-Prokocim,3,58.66,False,740000.0
Prądnik Biały,2,40.14,False,635000.0
Mistrzejowice,2,20.2,False,202000.0
Bieńczyce,2,36,True,550000.0
Mistrzejowice,1,19,False,190000.0
Bieżanów-Prokocim,2,45,True,640000.0
Podgórze Duchackie,3,57.55,True,690000.0
Mistrzejowice,2,30.5,False,305000.0
Stare Miasto,2,53,True,899000.0
Czyżyny,2,50,True,770000.0
Mistrzejowice,1,20,True,299000.0
Czyżyny,3,49,False,695000.0
Bieżanów-Prokocim,2,33,True,495000.0
Mistrzejowice,3,64.85,False,715000.0
Krowodrza,2,55.72,True,1139000.0
Prądnik Biały,2,33.1,False,330000.0
Krowodrza,2,50.14,True,852000.0
Czyżyny,2,52,True,690000.0
Zwierzyniec,3,50,False,840000.0
Podgórze Duchackie,2,72,False,699000.0
Czyżyny,3,53,True,760000.0
Bieżanów-Prokocim,2,49.6,False,570000.0
Krowodrza,2,41.52,False,830000.0
Bieżanów-Prokocim,3,47.03,True,576000.0
Krowodrza,3,48,True,890000.0
Podgórze,2,46,True,952000.0
Mistrzejowice,2,39.5,True,585000.0
Grzegórzki,2,49.9,False,747000.0
Mistrzejowice,3,46.8,True,584000.0
Prądnik Biały,3,111.75,True,1341000.0
Prądnik Czerwony,3,55.12,True,649000.0
Podgórze Duchackie,3,56.11,False,660000.0
Nowa Huta,4,54.53,False,699000.0
Podgórze,3,60.91,True,870000.0
Grzegórzki,2,48.6,False,570999.0
Stare Miasto,2,40.26,False,795000.0
Stare Miasto,2,34.5,True,755000.0
Krowodrza,2,46.5,False,720000.0
Dębniki,4,85.33,True,1249000.0
Dębniki,3,56.4,True,675000.0
Dębniki,3,48.2,True,679000.0
Bieńczyce,2,46.2,False,619000.0
Krowodrza,3,47.9,True,650000.0
Podgórze,3,77.11,True,1739000.0
Podgórze Duchackie,3,56,True,689000.0
Prądnik Biały,3,59.5,True,1050000.0
Grzegórzki,2,48.3,False,780000.0
Bieńczyce,2,37,True,517000.0
Bieżanów-Prokocim,2,34,False,389000.0
Grzegórzki,3,71.59,True,1396005.0
Dębniki,2,34,False,531000.0
Podgórze Duchackie,2,45,False,260000.0
Mistrzejowice,2,45.01,True,527000.0
Bieżanów-Prokocim,1,23.1,True,390000.0
Nowa Huta,2,37,True,440000.0
Bieżanów-Prokocim,2,25,False,399000.0
Bieńczyce,3,55.4,True,635000.0
Mistrzejowice,4,56.01,False,590000.0
Bieżanów-Prokocim,2,51.8,True,779000.0
Czyżyny,4,62,True,810000.0
Nowa Huta,4,95,False,1138955.0
Prądnik Biały,2,37.29,True,499000.0
Krowodrza,2,51,True,799000.0
Bieńczyce,2,36.1,True,474000.0
Bieżanów-Prokocim,1,23,True,299000.0
Bieżanów-Prokocim,3,61.62,False,690000.0
Podgórze,4,98,False,885000.0
